,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,546,546,546,546,546,546,546,546,546,546,154,154,546,546
Complexity,546,546,546,546,546,546,546,546,546,546,154,154,546,546
Consistency,546,546,546,546,546,546,546,546,546,546,154,154,546,546
Faithfulness,546,546,546,546,546,546,546,546,546,546,154,154,546,546
FaithfulnessEstimate,546,546,546,546,546,546,546,546,546,546,154,154,546,546
LocalLipschitzEstimate,546,546,546,546,546,546,546,546,546,546,154,154,546,546
MaxSensitivity,546,546,546,546,546,546,546,546,546,546,154,154,546,546
MonotonicityCorrelation,546,546,546,546,546,546,546,546,546,546,154,154,546,546
MonotonicityMetric,546,546,546,546,546,546,546,546,546,546,154,154,546,546
NonSensitivity,546,546,546,546,546,546,546,546,546,546,154,154,546,546
RelativeInputStability,154,154,154,154,154,154,154,154,154,154,154,153,154,154
RelativeOutputStability,154,154,154,154,154,154,154,154,154,154,153,154,154,154
Sparseness,546,546,546,546,546,546,546,546,546,546,154,154,546,546
Sufficiency,546,546,546,546,546,546,546,546,546,546,154,154,546,546
